Gene Symbol,p-value,Fold-change,Comparison,Experiment,Tissue
Lrrn2,0.0358198,-1.18254,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrrn3,0.0414132,1.1006,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrrn4,0.457521,-1.06346,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrrn4cl,0.173107,-1.16942,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrrtm1,0.00366086,-1.31533,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrrtm2,0.0089635,1.14024,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrrtm3,0.824131,1.01112,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrrtm4,0.0102283,1.13636,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrsam1,0.890537,1.00913,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrtm1,0.550977,-1.06111,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrtm2,0.00264092,-1.42785,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lrwd1,0.198898,-1.10486,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsamp,0.502721,1.04536,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsg1,0.114654,1.09663,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm1,0.846549,-1.01359,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm10,0.510126,-1.04553,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm11,0.26706,-1.06903,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm12,0.669435,-1.01476,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm14a,0.4375,1.01738,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm14b,0.141336,-1.05338,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm2,0.111294,-1.13683,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm3,0.743435,-1.01651,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm4,0.499232,-1.05522,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm5,0.00180337,1.32062,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm6,0.0788441,1.08949,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm7,0.751614,1.02053,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsm8,0.5169,-1.0346,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsmem1,0.978383,1.00268,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsp1,0.0950664,1.1022,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lsr,0.286892,-1.15153,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lss,0.721741,-1.01588,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lst1,0.985074,1.00147,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lta,0.778965,-1.02309,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lta4h,0.326393,-1.05079,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltb,0.588711,1.04551,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltb4r1,0.197377,-1.12181,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltb4r2,0.317758,-1.08838,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltbp1,0.170395,-1.11651,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltbp2,0.0194603,-1.1736,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltbp3,0.0058135,-1.25106,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltbp4,0.00646197,-1.249,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltbr,0.0887772,-1.09209,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltc4s,0.253893,1.10592,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltf,0.573646,-1.04879,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltk,0.195112,-1.14267,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltn1,0.110067,1.09619,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ltv1,0.0399979,1.11743,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Luc7l,0.462745,1.0413,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Luc7l2,0.123173,1.11779,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Luc7l3,0.0348963,1.16683,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lum,0.124334,1.526,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lurap1,0.228834,-1.06718,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lurap1l,0.69474,1.0351,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Luzp1,0.715679,1.02919,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Luzp2,0.041287,1.15128,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Luzp4,0.193306,1.08886,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lvrn,0.155403,1.14494,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lxn,0.943881,1.0036,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6a,0.465717,-1.11594,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6c1,0.309065,-1.16885,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6c2,0.0731136,-1.23234,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6d,0.608942,1.03915,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6e,0.318072,-1.0779,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6f,0.47559,-1.06092,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6g,0.0702795,-1.10218,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6g5b,0.774549,-1.0387,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6g5c,0.312198,1.07148,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6g6c,0.369602,1.07967,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6g6d,0.319348,1.06674,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6g6e,0.264309,1.12604,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6g6f,0.127926,-1.19444,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6h,0.273946,-1.10953,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6i,0.0591395,1.1198,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly6k,0.0403644,-1.29585,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly75,0.0263299,1.21435,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly86,0.0713844,1.17578,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly9,0.262585,-1.07092,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Ly96,0.573864,1.07224,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyar,0.662838,-1.02719,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyg1,0.314279,-1.05759,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyg2,0.63392,-1.05637,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyl1,0.960353,1.00404,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyn,0.1741,1.14427,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lynx1,0.0008567,1.19331,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypd1,0.564326,-1.03067,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypd2,0.520979,-1.07225,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypd3,0.639317,-1.046,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypd4,0.0850626,-1.14963,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypd5,0.465874,-1.05421,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypd6,0.454149,1.06581,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypd6b,0.537709,1.05198,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypd8,0.0407711,1.10265,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypla1,0.272356,1.08648,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lypla2,0.0019387,-1.17678,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyplal1,0.0968176,1.15516,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyrm1,0.0864447,1.08115,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyrm2,0.757494,1.02456,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyrm4,0.00104208,1.11044,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyrm5,0.340868,1.05431,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyrm7,1.05E-06,1.90822,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyrm9,0.916181,-1.00659,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lysmd1,0.782065,-1.01735,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lysmd2,0.0360572,1.09322,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lysmd3,0.127546,1.14822,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lysmd4,0.04566,-1.10186,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyst,0.139831,1.08323,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyve1,0.418577,-1.16355,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyz1,0.495169,-1.07266,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyz2,0.475849,1.1478,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyzl1,0.401738,-1.07527,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyzl4,0.22732,-1.08086,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lyzl6,0.985129,-1.00199,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lzic,0.183506,-1.08912,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lztfl1,0.00103366,1.15047,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lztr1,0.444328,-1.02969,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lzts1,0.76706,-1.04066,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lzts2,0.0116651,-1.24182,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Lzts3,0.0258482,-1.28053,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
M1ap,0.0910092,1.12468,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
M6pr,0.980716,-1.00109,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maats1,0.0423644,1.21153,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mab21l1,0.175817,1.23962,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mab21l2,0.680083,1.04811,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mab21l3,0.192596,-1.09806,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Macc1,0.808468,-1.03342,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Macrod1,0.203195,-1.12281,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Macrod2,0.322008,-1.04043,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mad1l1,0.472913,1.05666,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mad2l1,0.0160573,1.23492,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mad2l1bp,0.0419832,-1.14012,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mad2l2,0.00206053,-1.21186,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Madcam1,0.00705723,1.24879,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Madd,0.959673,-1.00196,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maea,0.669835,-1.01671,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mael,0.200056,1.09944,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maf,0.83299,1.02125,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maf1,0.0387873,-1.16932,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mafa,0.621783,-1.04132,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mafb,0.7515,-1.03472,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maff,0.67017,1.04317,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mafg,0.0202059,-1.19118,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mafk,0.01038,-1.2371,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mag,0.0371936,-1.18824,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magea1,0.409662,1.09716,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magea10,0.300867,-1.07389,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magea2,0.740243,-1.0293,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magea3,0.077765,-1.16128,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magea4,0.981385,-1.00211,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magea5,0.851217,-1.01294,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magea6,0.441283,1.05592,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magea8,0.968815,-1.00308,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mageb1,0.388737,-1.0915,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mageb16,0.0227882,1.36428,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mageb16-ps1,0.0669444,1.27655,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mageb18,0.994815,1.0004,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mageb2,0.343561,-1.08549,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mageb3,0.453544,-1.07202,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mageb4,0.11841,1.11054,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mageb5,0.0595512,1.11832,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maged1,0.0255132,1.06794,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maged2,0.133519,-1.11712,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magee1,0.0593582,-1.07803,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magee2,0.166798,-1.12213,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mageh1,0.310442,1.07796,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magel2,0.471889,-1.0755,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magi1,0.693846,-1.01903,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magi2,0.3115651,0.15313,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magi3,0.0435977,1.16883,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magix,0.236352,1.11785,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magoh,0.0245377,1.19407,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magohb,0.00597895,1.3297,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Magt1,0.0410394,1.19936,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mak,3.40E-05,1.41183,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mak16,0.000494414,1.20552,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mal,0.192157,-1.06976,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mal2,0.668623,1.02329,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mall,0.935086,-1.00632,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Malrd1,0.430629,-1.09239,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Malsu1,0.182702,1.06433,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Malt1,0.064199,-1.15942,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mamdc2,0.305574,-1.19094,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mamdc4,0.422431,-1.04399,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maml1,0.567089,-1.04405,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maml2,0.163904,1.09779,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Maml3,0.378516,1.06241,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mamld1,0.126866,-1.13501,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Mamstr,0.0178081,-1.22959,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Man1a,0.862006,-1.01714,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Man1a2,0.623354,1.02623,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Man1b1,0.38089,-1.03841,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Man1c1,0.163976,-1.13063,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Man2a1,0.884609,1.02482,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Man2a2,0.0111857,-1.11223,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Man2b1,0.000679753,1.29594,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Man2b2,0.136543,-1.07103,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Man2c1,0.997384,1.00019,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Manba,0.201367,1.08172,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
